Course,GPA,yearly_num,dept,num,index
ETHN 1,3.725018911841722,403,ETHN,1,0
ETHN 2,3.732003561887801,387,ETHN,2,1
ETHN 3,3.7909151370045224,367,ETHN,3,2
ETHN 30,3.3100000000000005,87,ETHN,30,3
ETHN 100A,3.2845531914893615,35,ETHN,100,4
ETHN 100B,3.6138000000000003,30,ETHN,100,5
ETHN 101,3.559376811594203,100,ETHN,101,6
ETHN 101TV,3.66,53,ETHN,101,7
ETHN 102,3.677910447761194,55,ETHN,102,8
ETHN 103,3.5960958083832337,71,ETHN,103,9
ETHN 104,3.7094477611940295,110,ETHN,104,10
ETHN 112A,3.2279245283018865,25,ETHN,112,11
ETHN 112B,3.6906250000000003,63,ETHN,112,12
ETHN 113,3.7523899371069183,41,ETHN,113,13
ETHN 113A,3.67,22,ETHN,113,14
ETHN 118,3.5725268817204303,38,ETHN,118,15
ETHN 120,3.425625,38,ETHN,120,16
ETHN 120D,3.74,22,ETHN,120,17
ETHN 121,3.611310975609756,32,ETHN,121,18
ETHN 122,3.4998966408268735,40,ETHN,122,19
ETHN 123,3.6689130434782604,35,ETHN,123,20
ETHN 124,3.6686980108499094,79,ETHN,124,21
ETHN 127,3.5665876777251184,36,ETHN,127,22
ETHN 128,3.5689808917197454,38,ETHN,128,23
ETHN 137,3.6363291139240506,18,ETHN,137,24
ETHN 138,3.18,36,ETHN,138,25
ETHN 139,3.121111111111111,20,ETHN,139,26
ETHN 140A,3.72,33,ETHN,140,27
ETHN 142,3.632061657032755,89,ETHN,142,28
ETHN 143,3.721033210332103,29,ETHN,143,29
ETHN 147,3.84,15,ETHN,147,30
ETHN 152,3.61230598669623,10,ETHN,152,31
ETHN 155,3.4966555183946486,73,ETHN,155,32
ETHN 163E,3.92,23,ETHN,163,33
ETHN 163F,3.7517857142857145,31,ETHN,163,34
ETHN 166,3.27,10,ETHN,166,35
ETHN 170,2.968305084745763,16,ETHN,170,36
ETHN 177,3.718095238095238,22,ETHN,177,37
ETHN 178,3.4101801801801805,26,ETHN,178,38
ETHN 179,3.5670329670329672,44,ETHN,179,39
ETHN 182,3.759543269230769,81,ETHN,182,40
ETHN 183,3.542448132780083,18,ETHN,183,41
ETHN 184,3.048695652173913,14,ETHN,184,42
ETHN 187,3.7612765957446808,13,ETHN,187,43
