Course,GPA,yearly_num,dept,num,index
LIHL 112F,3.3153146853146853,22,LIHL,112,0
LIHL 112P,3.3356637168141594,14,LIHL,112,1
LIHL 112W,3.44,14,LIHL,112,2
LIHL 114F,3.41,12,LIHL,114,3
LIHL 114P,3.0599999999999996,18,LIHL,114,4
LIHL 114W,3.4063265306122448,10,LIHL,114,5
LIHL 117P,3.854375,25,LIHL,117,6
LIHL 117W,3.95,10,LIHL,117,7
LIHL 118,3.66,57,LIHL,118,8
LIHL 119F,3.742244897959184,17,LIHL,119,9
LIHL 119P,3.596714285714286,27,LIHL,119,10
LIHL 119W,3.625,12,LIHL,119,11
LIHL 124P,3.587142857142857,11,LIHL,124,12
LIHL 124W,3.52,11,LIHL,124,13
LIHL 132F,3.46,17,LIHL,132,14
LIHL 132P,3.4379999999999997,14,LIHL,132,15
